"n","year-r","age","total","y","q","year"
"78",199625,77,0,1996,2,"1996.II"
"79",199625,78,0,1996,2,"1996.II"
"80",199650,0,5,1996,3,"1996.III"
"81",199650,1,2,1996,3,"1996.III"
"82",199650,2,0,1996,3,"1996.III"
"83",199650,3,0,1996,3,"1996.III"
"84",199650,4,0,1996,3,"1996.III"
"85",199650,5,0,1996,3,"1996.III"
"86",199650,6,0,1996,3,"1996.III"
"87",199650,7,0,1996,3,"1996.III"
"88",199650,8,0,1996,3,"1996.III"
"89",199650,9,0,1996,3,"1996.III"
"90",199650,10,0,1996,3,"1996.III"
"91",199650,11,0,1996,3,"1996.III"
"92",199650,12,0,1996,3,"1996.III"
"93",199650,13,0,1996,3,"1996.III"
"94",199650,14,0,1996,3,"1996.III"
"95",199650,15,0,1996,3,"1996.III"
"96",199650,16,0,1996,3,"1996.III"
"97",199650,17,0,1996,3,"1996.III"
"98",199650,18,0,1996,3,"1996.III"
"99",199650,19,0,1996,3,"1996.III"
"100",199650,20,0,1996,3,"1996.III"
"101",199650,21,0,1996,3,"1996.III"
"102",199650,22,0,1996,3,"1996.III"
"103",199650,23,0,1996,3,"1996.III"
"104",199650,24,0,1996,3,"1996.III"
"105",199650,25,0,1996,3,"1996.III"
"106",199650,26,0,1996,3,"1996.III"
"107",199650,27,0,1996,3,"1996.III"
"108",199650,28,0,1996,3,"1996.III"
"109",199650,29,0,1996,3,"1996.III"
"110",199650,30,0,1996,3,"1996.III"
"111",199650,31,0,1996,3,"1996.III"
"112",199650,32,0,1996,3,"1996.III"
"113",199650,33,0,1996,3,"1996.III"
"114",199650,34,0,1996,3,"1996.III"
"115",199650,35,0,1996,3,"1996.III"
"116",199650,36,0,1996,3,"1996.III"
"117",199650,37,0,1996,3,"1996.III"
"118",199650,38,0,1996,3,"1996.III"
"119",199650,39,0,1996,3,"1996.III"
"120",199650,40,0,1996,3,"1996.III"
"121",199650,41,0,1996,3,"1996.III"
"122",199650,42,0,1996,3,"1996.III"
"123",199650,43,0,1996,3,"1996.III"
"124",199650,44,0,1996,3,"1996.III"
"125",199650,45,0,1996,3,"1996.III"
"126",199650,46,0,1996,3,"1996.III"
"127",199650,47,0,1996,3,"1996.III"
"128",199650,48,0,1996,3,"1996.III"
"129",199650,49,0,1996,3,"1996.III"
"130",199650,50,0,1996,3,"1996.III"
"131",199650,51,0,1996,3,"1996.III"
"132",199650,52,0,1996,3,"1996.III"
"133",199650,53,0,1996,3,"1996.III"
"134",199650,54,0,1996,3,"1996.III"
"135",199650,55,0,1996,3,"1996.III"
"136",199650,56,0,1996,3,"1996.III"
"137",199650,57,0,1996,3,"1996.III"
"138",199650,58,0,1996,3,"1996.III"
"139",199650,59,0,1996,3,"1996.III"
"140",199650,60,0,1996,3,"1996.III"
"141",199650,61,0,1996,3,"1996.III"
"142",199650,62,0,1996,3,"1996.III"
"143",199650,63,0,1996,3,"1996.III"
"144",199650,64,0,1996,3,"1996.III"
"145",199650,65,0,1996,3,"1996.III"
"146",199650,66,0,1996,3,"1996.III"
"147",199650,67,0,1996,3,"1996.III"
"148",199650,68,0,1996,3,"1996.III"
"149",199650,69,0,1996,3,"1996.III"
"150",199650,70,0,1996,3,"1996.III"
"151",199650,71,0,1996,3,"1996.III"
"152",199650,72,0,1996,3,"1996.III"
"153",199650,73,0,1996,3,"1996.III"
"154",199650,74,0,1996,3,"1996.III"
"155",199650,75,0,1996,3,"1996.III"
"156",199650,76,0,1996,3,"1996.III"
"157",199650,77,0,1996,3,"1996.III"
"158",199650,78,0,1996,3,"1996.III"
"159",199675,0,4,1996,4,"1996.IV"
"160",199675,1,4,1996,4,"1996.IV"
"161",199675,2,2,1996,4,"1996.IV"
"162",199675,3,0,1996,4,"1996.IV"
"163",199675,4,0,1996,4,"1996.IV"
"164",199675,5,0,1996,4,"1996.IV"
"165",199675,6,0,1996,4,"1996.IV"
"166",199675,7,0,1996,4,"1996.IV"
"167",199675,8,0,1996,4,"1996.IV"
"168",199675,9,0,1996,4,"1996.IV"
"169",199675,10,0,1996,4,"1996.IV"
"170",199675,11,0,1996,4,"1996.IV"
"171",199675,12,0,1996,4,"1996.IV"
"172",199675,13,0,1996,4,"1996.IV"
"173",199675,14,0,1996,4,"1996.IV"
"174",199675,15,0,1996,4,"1996.IV"
"175",199675,16,0,1996,4,"1996.IV"
"176",199675,17,0,1996,4,"1996.IV"
"177",199675,18,0,1996,4,"1996.IV"
"178",199675,19,0,1996,4,"1996.IV"
"179",199675,20,0,1996,4,"1996.IV"
"180",199675,21,0,1996,4,"1996.IV"
"181",199675,22,0,1996,4,"1996.IV"
"182",199675,23,0,1996,4,"1996.IV"
"183",199675,24,0,1996,4,"1996.IV"
"184",199675,25,0,1996,4,"1996.IV"
"185",199675,26,0,1996,4,"1996.IV"
"186",199675,27,0,1996,4,"1996.IV"
"187",199675,28,0,1996,4,"1996.IV"
"188",199675,29,0,1996,4,"1996.IV"
"189",199675,30,0,1996,4,"1996.IV"
"190",199675,31,0,1996,4,"1996.IV"
"191",199675,32,0,1996,4,"1996.IV"
"192",199675,33,0,1996,4,"1996.IV"
"193",199675,34,0,1996,4,"1996.IV"
"194",199675,35,0,1996,4,"1996.IV"
"195",199675,36,0,1996,4,"1996.IV"
"196",199675,37,0,1996,4,"1996.IV"
"197",199675,38,0,1996,4,"1996.IV"
"198",199675,39,0,1996,4,"1996.IV"
"199",199675,40,0,1996,4,"1996.IV"
"200",199675,41,0,1996,4,"1996.IV"
"201",199675,42,0,1996,4,"1996.IV"
"202",199675,43,0,1996,4,"1996.IV"
"203",199675,44,0,1996,4,"1996.IV"
"204",199675,45,0,1996,4,"1996.IV"
"205",199675,46,0,1996,4,"1996.IV"
"206",199675,47,0,1996,4,"1996.IV"
"207",199675,48,0,1996,4,"1996.IV"
"208",199675,49,0,1996,4,"1996.IV"
"209",199675,50,0,1996,4,"1996.IV"
"210",199675,51,0,1996,4,"1996.IV"
"211",199675,52,0,1996,4,"1996.IV"
"212",199675,53,0,1996,4,"1996.IV"
"213",199675,54,0,1996,4,"1996.IV"
"214",199675,55,0,1996,4,"1996.IV"
"215",199675,56,0,1996,4,"1996.IV"
"216",199675,57,0,1996,4,"1996.IV"
"217",199675,58,0,1996,4,"1996.IV"
"218",199675,59,0,1996,4,"1996.IV"
"219",199675,60,0,1996,4,"1996.IV"
"220",199675,61,0,1996,4,"1996.IV"
"221",199675,62,0,1996,4,"1996.IV"
"222",199675,63,0,1996,4,"1996.IV"
"223",199675,64,0,1996,4,"1996.IV"
"224",199675,65,0,1996,4,"1996.IV"
"225",199675,66,0,1996,4,"1996.IV"
"226",199675,67,0,1996,4,"1996.IV"
"227",199675,68,0,1996,4,"1996.IV"
"228",199675,69,0,1996,4,"1996.IV"
"229",199675,70,0,1996,4,"1996.IV"
"230",199675,71,0,1996,4,"1996.IV"
"231",199675,72,0,1996,4,"1996.IV"
"232",199675,73,0,1996,4,"1996.IV"
"233",199675,74,0,1996,4,"1996.IV"
"234",199675,75,0,1996,4,"1996.IV"
"235",199675,76,0,1996,4,"1996.IV"
"236",199675,77,0,1996,4,"1996.IV"
"237",199675,78,0,1996,4,"1996.IV"
"238",199700,0,2,1997,1,"1997.I"
"239",199700,1,4,1997,1,"1997.I"
"240",199700,2,4,1997,1,"1997.I"
"241",199700,3,2,1997,1,"1997.I"
"242",199700,4,0,1997,1,"1997.I"
"243",199700,5,0,1997,1,"1997.I"
"244",199700,6,0,1997,1,"1997.I"
"245",199700,7,0,1997,1,"1997.I"
"246",199700,8,0,1997,1,"1997.I"
"247",199700,9,0,1997,1,"1997.I"
"248",199700,10,0,1997,1,"1997.I"
"249",199700,11,0,1997,1,"1997.I"
"250",199700,12,0,1997,1,"1997.I"
"251",199700,13,0,1997,1,"1997.I"
"252",199700,14,0,1997,1,"1997.I"
"253",199700,15,0,1997,1,"1997.I"
"254",199700,16,0,1997,1,"1997.I"
"255",199700,17,0,1997,1,"1997.I"
"256",199700,18,0,1997,1,"1997.I"
"257",199700,19,0,1997,1,"1997.I"
"258",199700,20,0,1997,1,"1997.I"
"259",199700,21,0,1997,1,"1997.I"
"260",199700,22,0,1997,1,"1997.I"
"261",199700,23,0,1997,1,"1997.I"
"262",199700,24,0,1997,1,"1997.I"
"263",199700,25,0,1997,1,"1997.I"
"264",199700,26,0,1997,1,"1997.I"
"265",199700,27,0,1997,1,"1997.I"
"266",199700,28,0,1997,1,"1997.I"
"267",199700,29,0,1997,1,"1997.I"
"268",199700,30,0,1997,1,"1997.I"
"269",199700,31,0,1997,1,"1997.I"
"270",199700,32,0,1997,1,"1997.I"
"271",199700,33,0,1997,1,"1997.I"
"272",199700,34,0,1997,1,"1997.I"
"273",199700,35,0,1997,1,"1997.I"
"274",199700,36,0,1997,1,"1997.I"
"275",199700,37,0,1997,1,"1997.I"
"276",199700,38,0,1997,1,"1997.I"
"277",199700,39,0,1997,1,"1997.I"
"278",199700,40,0,1997,1,"1997.I"
"279",199700,41,0,1997,1,"1997.I"
"280",199700,42,0,1997,1,"1997.I"
"281",199700,43,0,1997,1,"1997.I"
"282",199700,44,0,1997,1,"1997.I"
"283",199700,45,0,1997,1,"1997.I"
"284",199700,46,0,1997,1,"1997.I"
"285",199700,47,0,1997,1,"1997.I"
"286",199700,48,0,1997,1,"1997.I"
"287",199700,49,0,1997,1,"1997.I"
"288",199700,50,0,1997,1,"1997.I"
"289",199700,51,0,1997,1,"1997.I"
"290",199700,52,0,1997,1,"1997.I"
"291",199700,53,0,1997,1,"1997.I"
"292",199700,54,0,1997,1,"1997.I"
"293",199700,55,0,1997,1,"1997.I"
"294",199700,56,0,1997,1,"1997.I"
"295",199700,57,0,1997,1,"1997.I"
"296",199700,58,0,1997,1,"1997.I"
"297",199700,59,0,1997,1,"1997.I"
"298",199700,60,0,1997,1,"1997.I"
"299",199700,61,0,1997,1,"1997.I"
"300",199700,62,0,1997,1,"1997.I"
"301",199700,63,0,1997,1,"1997.I"
"302",199700,64,0,1997,1,"1997.I"
"303",199700,65,0,1997,1,"1997.I"
"304",199700,66,0,1997,1,"1997.I"
"305",199700,67,0,1997,1,"1997.I"
"306",199700,68,0,1997,1,"1997.I"
"307",199700,69,0,1997,1,"1997.I"
"308",199700,70,0,1997,1,"1997.I"
"309",199700,71,0,1997,1,"1997.I"
"310",199700,72,0,1997,1,"1997.I"
"311",199700,73,0,1997,1,"1997.I"
"312",199700,74,0,1997,1,"1997.I"
"313",199700,75,0,1997,1,"1997.I"
"314",199700,76,0,1997,1,"1997.I"
"315",199700,77,0,1997,1,"1997.I"
"316",199700,78,0,1997,1,"1997.I"
"317",199725,0,2,1997,2,"1997.II"
"318",199725,1,2,1997,2,"1997.II"
"319",199725,2,4,1997,2,"1997.II"
"320",199725,3,4,1997,2,"1997.II"
"321",199725,4,2,1997,2,"1997.II"
"322",199725,5,0,1997,2,"1997.II"
"323",199725,6,0,1997,2,"1997.II"
"324",199725,7,0,1997,2,"1997.II"
"325",199725,8,0,1997,2,"1997.II"
"326",199725,9,0,1997,2,"1997.II"
"327",199725,10,0,1997,2,"1997.II"
"328",199725,11,0,1997,2,"1997.II"
"329",199725,12,0,1997,2,"1997.II"
"330",199725,13,0,1997,2,"1997.II"
"331",199725,14,0,1997,2,"1997.II"
"332",199725,15,0,1997,2,"1997.II"
"333",199725,16,0,1997,2,"1997.II"
"334",199725,17,0,1997,2,"1997.II"
"335",199725,18,0,1997,2,"1997.II"
"336",199725,19,0,1997,2,"1997.II"
"337",199725,20,0,1997,2,"1997.II"
"338",199725,21,0,1997,2,"1997.II"
"339",199725,22,0,1997,2,"1997.II"
"340",199725,23,0,1997,2,"1997.II"
"341",199725,24,0,1997,2,"1997.II"
"342",199725,25,0,1997,2,"1997.II"
"343",199725,26,0,1997,2,"1997.II"
"344",199725,27,0,1997,2,"1997.II"
"345",199725,28,0,1997,2,"1997.II"
"346",199725,29,0,1997,2,"1997.II"
"347",199725,30,0,1997,2,"1997.II"
"348",199725,31,0,1997,2,"1997.II"
"349",199725,32,0,1997,2,"1997.II"
"350",199725,33,0,1997,2,"1997.II"
"351",199725,34,0,1997,2,"1997.II"
"352",199725,35,0,1997,2,"1997.II"
"353",199725,36,0,1997,2,"1997.II"
"354",199725,37,0,1997,2,"1997.II"
"355",199725,38,0,1997,2,"1997.II"
"356",199725,39,0,1997,2,"1997.II"
"357",199725,40,0,1997,2,"1997.II"
"358",199725,41,0,1997,2,"1997.II"
"359",199725,42,0,1997,2,"1997.II"
"360",199725,43,0,1997,2,"1997.II"
"361",199725,44,0,1997,2,"1997.II"
"362",199725,45,0,1997,2,"1997.II"
"363",199725,46,0,1997,2,"1997.II"
"364",199725,47,0,1997,2,"1997.II"
"365",199725,48,0,1997,2,"1997.II"
"366",199725,49,0,1997,2,"1997.II"
"367",199725,50,0,1997,2,"1997.II"
"368",199725,51,0,1997,2,"1997.II"
"369",199725,52,0,1997,2,"1997.II"
"370",199725,53,0,1997,2,"1997.II"
"371",199725,54,0,1997,2,"1997.II"
"372",199725,55,0,1997,2,"1997.II"
"373",199725,56,0,1997,2,"1997.II"
"374",199725,57,0,1997,2,"1997.II"
"375",199725,58,0,1997,2,"1997.II"
"376",199725,59,0,1997,2,"1997.II"
"377",199725,60,0,1997,2,"1997.II"
"378",199725,61,0,1997,2,"1997.II"
"379",199725,62,0,1997,2,"1997.II"
"380",199725,63,0,1997,2,"1997.II"
"381",199725,64,0,1997,2,"1997.II"
"382",199725,65,0,1997,2,"1997.II"
"383",199725,66,0,1997,2,"1997.II"
"384",199725,67,0,1997,2,"1997.II"
"385",199725,68,0,1997,2,"1997.II"
"386",199725,69,0,1997,2,"1997.II"
"387",199725,70,0,1997,2,"1997.II"
"388",199725,71,0,1997,2,"1997.II"
"389",199725,72,0,1997,2,"1997.II"
"390",199725,73,0,1997,2,"1997.II"
"391",199725,74,0,1997,2,"1997.II"
"392",199725,75,0,1997,2,"1997.II"
"393",199725,76,0,1997,2,"1997.II"
"394",199725,77,0,1997,2,"1997.II"
"395",199725,78,0,1997,2,"1997.II"
"396",199750,0,2,1997,3,"1997.III"
"397",199750,1,2,1997,3,"1997.III"
"398",199750,2,2,1997,3,"1997.III"
"399",199750,3,4,1997,3,"1997.III"
"400",199750,4,3,1997,3,"1997.III"
"401",199750,5,2,1997,3,"1997.III"
"402",199750,6,0,1997,3,"1997.III"
"403",199750,7,0,1997,3,"1997.III"
"404",199750,8,0,1997,3,"1997.III"
"405",199750,9,0,1997,3,"1997.III"
"406",199750,10,0,1997,3,"1997.III"
"407",199750,11,0,1997,3,"1997.III"
"408",199750,12,0,1997,3,"1997.III"
"409",199750,13,0,1997,3,"1997.III"
"410",199750,14,0,1997,3,"1997.III"
"411",199750,15,0,1997,3,"1997.III"
"412",199750,16,0,1997,3,"1997.III"
"413",199750,17,0,1997,3,"1997.III"
"414",199750,18,0,1997,3,"1997.III"
"415",199750,19,0,1997,3,"1997.III"
"416",199750,20,0,1997,3,"1997.III"
"417",199750,21,0,1997,3,"1997.III"
"418",199750,22,0,1997,3,"1997.III"
"419",199750,23,0,1997,3,"1997.III"
"420",199750,24,0,1997,3,"1997.III"
"421",199750,25,0,1997,3,"1997.III"
"422",199750,26,0,1997,3,"1997.III"
"423",199750,27,0,1997,3,"1997.III"
"424",199750,28,0,1997,3,"1997.III"
"425",199750,29,0,1997,3,"1997.III"
"426",199750,30,0,1997,3,"1997.III"
"427",199750,31,0,1997,3,"1997.III"
"428",199750,32,0,1997,3,"1997.III"
"429",199750,33,0,1997,3,"1997.III"
"430",199750,34,0,1997,3,"1997.III"
"431",199750,35,0,1997,3,"1997.III"
"432",199750,36,0,1997,3,"1997.III"
"433",199750,37,0,1997,3,"1997.III"
"434",199750,38,0,1997,3,"1997.III"
"435",199750,39,0,1997,3,"1997.III"
"436",199750,40,0,1997,3,"1997.III"
"437",199750,41,0,1997,3,"1997.III"
"438",199750,42,0,1997,3,"1997.III"
"439",199750,43,0,1997,3,"1997.III"
"440",199750,44,0,1997,3,"1997.III"
"441",199750,45,0,1997,3,"1997.III"
"442",199750,46,0,1997,3,"1997.III"
"443",199750,47,0,1997,3,"1997.III"
"444",199750,48,0,1997,3,"1997.III"
"445",199750,49,0,1997,3,"1997.III"
"446",199750,50,0,1997,3,"1997.III"
"447",199750,51,0,1997,3,"1997.III"
"448",199750,52,0,1997,3,"1997.III"
"449",199750,53,0,1997,3,"1997.III"
"450",199750,54,0,1997,3,"1997.III"
"451",199750,55,0,1997,3,"1997.III"
"452",199750,56,0,1997,3,"1997.III"
"453",199750,57,0,1997,3,"1997.III"
"454",199750,58,0,1997,3,"1997.III"
"455",199750,59,0,1997,3,"1997.III"
"456",199750,60,0,1997,3,"1997.III"
"457",199750,61,0,1997,3,"1997.III"
"458",199750,62,0,1997,3,"1997.III"
"459",199750,63,0,1997,3,"1997.III"
"460",199750,64,0,1997,3,"1997.III"
"461",199750,65,0,1997,3,"1997.III"
"462",199750,66,0,1997,3,"1997.III"
"463",199750,67,0,1997,3,"1997.III"
"464",199750,68,0,1997,3,"1997.III"
"465",199750,69,0,1997,3,"1997.III"
"466",199750,70,0,1997,3,"1997.III"
"467",199750,71,0,1997,3,"1997.III"
"468",199750,72,0,1997,3,"1997.III"
"469",199750,73,0,1997,3,"1997.III"
"470",199750,74,0,1997,3,"1997.III"
"471",199750,75,0,1997,3,"1997.III"
"472",199750,76,0,1997,3,"1997.III"
"473",199750,77,0,1997,3,"1997.III"
"474",199750,78,0,1997,3,"1997.III"
"475",199775,0,0,1997,4,"1997.IV"
"476",199775,1,2,1997,4,"1997.IV"
"477",199775,2,2,1997,4,"1997.IV"
"478",199775,3,2,1997,4,"1997.IV"
"479",199775,4,4,1997,4,"1997.IV"
"480",199775,5,2,1997,4,"1997.IV"
"481",199775,6,2,1997,4,"1997.IV"
"482",199775,7,0,1997,4,"1997.IV"
"483",199775,8,0,1997,4,"1997.IV"
"484",199775,9,0,1997,4,"1997.IV"
"485",199775,10,0,1997,4,"1997.IV"
"486",199775,11,0,1997,4,"1997.IV"
"487",199775,12,0,1997,4,"1997.IV"
"488",199775,13,0,1997,4,"1997.IV"
"489",199775,14,0,1997,4,"1997.IV"
"490",199775,15,0,1997,4,"1997.IV"
"491",199775,16,0,1997,4,"1997.IV"
"492",199775,17,0,1997,4,"1997.IV"
"493",199775,18,0,1997,4,"1997.IV"
"494",199775,19,0,1997,4,"1997.IV"
"495",199775,20,0,1997,4,"1997.IV"
"496",199775,21,0,1997,4,"1997.IV"
"497",199775,22,0,1997,4,"1997.IV"
"498",199775,23,0,1997,4,"1997.IV"
"499",199775,24,0,1997,4,"1997.IV"
"500",199775,25,0,1997,4,"1997.IV"
"501",199775,26,0,1997,4,"1997.IV"
"502",199775,27,0,1997,4,"1997.IV"
"503",199775,28,0,1997,4,"1997.IV"
"504",199775,29,0,1997,4,"1997.IV"
"505",199775,30,0,1997,4,"1997.IV"
"506",199775,31,0,1997,4,"1997.IV"
"507",199775,32,0,1997,4,"1997.IV"
"508",199775,33,0,1997,4,"1997.IV"
"509",199775,34,0,1997,4,"1997.IV"
"510",199775,35,0,1997,4,"1997.IV"
"511",199775,36,0,1997,4,"1997.IV"
"512",199775,37,0,1997,4,"1997.IV"
"513",199775,38,0,1997,4,"1997.IV"
"514",199775,39,0,1997,4,"1997.IV"
"515",199775,40,0,1997,4,"1997.IV"
"516",199775,41,0,1997,4,"1997.IV"
"517",199775,42,0,1997,4,"1997.IV"
"518",199775,43,0,1997,4,"1997.IV"
"519",199775,44,0,1997,4,"1997.IV"
"520",199775,45,0,1997,4,"1997.IV"
"521",199775,46,0,1997,4,"1997.IV"
"522",199775,47,0,1997,4,"1997.IV"
"523",199775,48,0,1997,4,"1997.IV"
"524",199775,49,0,1997,4,"1997.IV"
"525",199775,50,0,1997,4,"1997.IV"
"526",199775,51,0,1997,4,"1997.IV"
"527",199775,52,0,1997,4,"1997.IV"
"528",199775,53,0,1997,4,"1997.IV"
"529",199775,54,0,1997,4,"1997.IV"
"530",199775,55,0,1997,4,"1997.IV"
"531",199775,56,0,1997,4,"1997.IV"
"532",199775,57,0,1997,4,"1997.IV"
"533",199775,58,0,1997,4,"1997.IV"
"534",199775,59,0,1997,4,"1997.IV"
"535",199775,60,0,1997,4,"1997.IV"
"536",199775,61,0,1997,4,"1997.IV"
"537",199775,62,0,1997,4,"1997.IV"
"538",199775,63,0,1997,4,"1997.IV"
"539",199775,64,0,1997,4,"1997.IV"
"540",199775,65,0,1997,4,"1997.IV"
"541",199775,66,0,1997,4,"1997.IV"
"542",199775,67,0,1997,4,"1997.IV"
"543",199775,68,0,1997,4,"1997.IV"
"544",199775,69,0,1997,4,"1997.IV"
"545",199775,70,0,1997,4,"1997.IV"
"546",199775,71,0,1997,4,"1997.IV"
"547",199775,72,0,1997,4,"1997.IV"
"548",199775,73,0,1997,4,"1997.IV"
"549",199775,74,0,1997,4,"1997.IV"
"550",199775,75,0,1997,4,"1997.IV"
"551",199775,76,0,1997,4,"1997.IV"
"552",199775,77,0,1997,4,"1997.IV"
"553",199775,78,0,1997,4,"1997.IV"
"554",199800,0,1,1998,1,"1998.I"
"555",199800,1,0,1998,1,"1998.I"
"556",199800,2,2,1998,1,"1998.I"
"557",199800,3,2,1998,1,"1998.I"
"558",199800,4,2,1998,1,"1998.I"
"559",199800,5,4,1998,1,"1998.I"
"560",199800,6,2,1998,1,"1998.I"
"561",199800,7,2,1998,1,"1998.I"
"562",199800,8,0,1998,1,"1998.I"
"563",199800,9,0,1998,1,"1998.I"
"564",199800,10,0,1998,1,"1998.I"
"565",199800,11,0,1998,1,"1998.I"
"566",199800,12,0,1998,1,"1998.I"
"567",199800,13,0,1998,1,"1998.I"
"568",199800,14,0,1998,1,"1998.I"
"569",199800,15,0,1998,1,"1998.I"
"570",199800,16,0,1998,1,"1998.I"
"571",199800,17,0,1998,1,"1998.I"
"572",199800,18,0,1998,1,"1998.I"
"573",199800,19,0,1998,1,"1998.I"
"574",199800,20,0,1998,1,"1998.I"
"575",199800,21,0,1998,1,"1998.I"
"576",199800,22,0,1998,1,"1998.I"
"577",199800,23,0,1998,1,"1998.I"
"578",199800,24,0,1998,1,"1998.I"
"579",199800,25,0,1998,1,"1998.I"
"580",199800,26,0,1998,1,"1998.I"
"581",199800,27,0,1998,1,"1998.I"
"582",199800,28,0,1998,1,"1998.I"
"583",199800,29,0,1998,1,"1998.I"
"584",199800,30,0,1998,1,"1998.I"
"585",199800,31,0,1998,1,"1998.I"
"586",199800,32,0,1998,1,"1998.I"
"587",199800,33,0,1998,1,"1998.I"
"588",199800,34,0,1998,1,"1998.I"
"589",199800,35,0,1998,1,"1998.I"
"590",199800,36,0,1998,1,"1998.I"
"591",199800,37,0,1998,1,"1998.I"
"592",199800,38,0,1998,1,"1998.I"
"593",199800,39,0,1998,1,"1998.I"
"594",199800,40,0,1998,1,"1998.I"
"595",199800,41,0,1998,1,"1998.I"
"596",199800,42,0,1998,1,"1998.I"
"597",199800,43,0,1998,1,"1998.I"
"598",199800,44,0,1998,1,"1998.I"
"599",199800,45,0,1998,1,"1998.I"
"600",199800,46,0,1998,1,"1998.I"
"601",199800,47,0,1998,1,"1998.I"
"602",199800,48,0,1998,1,"1998.I"
"603",199800,49,0,1998,1,"1998.I"
"604",199800,50,0,1998,1,"1998.I"
"605",199800,51,0,1998,1,"1998.I"
"606",199800,52,0,1998,1,"1998.I"
"607",199800,53,0,1998,1,"1998.I"
"608",199800,54,0,1998,1,"1998.I"
"609",199800,55,0,1998,1,"1998.I"
"610",199800,56,0,1998,1,"1998.I"
"611",199800,57,0,1998,1,"1998.I"
"612",199800,58,0,1998,1,"1998.I"
"613",199800,59,0,1998,1,"1998.I"
"614",199800,60,0,1998,1,"1998.I"
"615",199800,61,0,1998,1,"1998.I"
"616",199800,62,0,1998,1,"1998.I"
"617",199800,63,0,1998,1,"1998.I"
"618",199800,64,0,1998,1,"1998.I"
"619",199800,65,0,1998,1,"1998.I"
"620",199800,66,0,1998,1,"1998.I"
"621",199800,67,0,1998,1,"1998.I"
"622",199800,68,0,1998,1,"1998.I"
"623",199800,69,0,1998,1,"1998.I"
"624",199800,70,0,1998,1,"1998.I"
"625",199800,71,0,1998,1,"1998.I"
"626",199800,72,0,1998,1,"1998.I"
"627",199800,73,0,1998,1,"1998.I"
